鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,房地(土地+建物),臺北市大安區忠孝東路三段１０巷２０號五樓之１,13.69,住,,,1120804,土地1建物2車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711215,73.11,2,1,2,有,有,25000000,341950,,0.0,0,陽台外推；,RPPNMLLJRHIGFFA77EA,41.46,0.0,16.36,有,
萬華區,房地(土地+建物),臺北市萬華區西園路一段４１之６號,40.0,商,,,1120817,土地1建物1車位0,全,二層,透天厝,,磚造,,77.94,0,2,2,有,無,8800000,112907,,0.0,0,古蹟頂樓加蓋；,RPUNMLLJRHIGFBA77DA,77.94,0.0,0.0,無,0170
信義區,土地,三興段一小段441-1地號,22.88,都市：其他:道路用地(公共設施用地)。51/9/1,,,1120828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1410000,61626,,0.0,0,包含公共設施保留地用地；,RPQOMLLJRHIGFDA67DA,0.0,0.0,0.0,無,0171
士林區,房地(土地+建物)+車位,臺北市士林區劍潭路１２號十樓之６,10.47,商,,,1120808,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971226,105.29,1,1,1,有,有,22000000,208947,坡道平面,0.0,0,,RPWNMLPKQHIGFEA68DA,37.06,2.54,3.85,有,
士林區,房地(土地+建物),臺北市士林區大南路４００號四樓,25.23,住,,,1120809,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721006,105.56,3,2,2,有,無,18500000,175256,,0.0,0,陽台加窗,RPQNMLLJRHIGFEA77EA,98.23,0.0,7.33,無,0172
北投區,房地(土地+建物),臺北市北投區大興街２５號四樓,49.07,住,,,1120816,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790421,139.04,3,2,2,有,無,22700000,163262,,0.0,0,陽台外推；,RPPOMLMLQHIGFEA87DA,113.13,4.42,13.32,無,
南港區,房地(土地+建物),臺北市南港區福德街３３９巷３２號四樓,17.5,住,,,1120821,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641203,62.61,3,1,1,有,無,11000000,175691,,0.0,0,,RPWNMLLKQHIGFDA28EA,62.61,0.0,0.0,無,
北投區,房地(土地+建物),臺北市北投區知行路１９５號五樓,32.2,商,,,1120806,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750910,102.51,3,2,3,有,無,10750000,104868,,0.0,0,陽台外推；頂樓加蓋；,RPTNMLTKQHIGFEA78DA,83.69,0.0,7.43,無,0173
北投區,房地(土地+建物),臺北市北投區中央北路四段５８３巷１０弄７號四樓之５,31.96,住,,,1120807,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050817,69.5,2,1,1,有,有,11270000,162158,,0.0,0,夾層；其他增建；,RPQOMLKMQHIGFEA87DA,33.98,7.25,4.01,有,0174
北投區,車位,臺北市北投區溫泉路３７巷２６號二樓等,0.28,商,,,1120818,土地2建物1車位1,,,其他,,,,19.86,0,0,0,無,有,1200000,,坡道機械,19.86,1200000,僅車位交易；,RPPNMLOJRHIGFEA87DA,0.0,0.0,0.0,有,0175
